color,year,price,first_name,last_name,sex,class
Green,2002,"2915,6511910148",Hasebe,Makoto,Male,Pensioner:Teenager
Yellow,2013,"1515,0648513697",Deeb,Amer,Female,Student:Child
Green,1995,"1651,7636170499",Nurdauletov,Kairat,Female,Worker:Teenager
Orange,2010,"2220,02646745",Ri,Myong Guk,Female,Student:Child
Orange,2004,"830,3444026858",Ha,Daesung,Female,Pensioner:Child
Yellow,2001,"294,5277569704",Al-khaldi,Nawaf,Female,Student:Teenager
Red,2007,"2923,1300768331",Baimatov,Azamat,Female,Student:Child
Red,2013,"698,1645570956",Phaphouvaninh,Vixay,Male,Student:Child
Green,2008,"1997,8963900246",Gorkss,Kaspars,Female,Worker:Child
Blue,2004,"1791,4113416225",Antar,Roda,Female,Pensioner:Child
Blue,1991,"1021,6712765284",Gebro,George Duncan,Male,Student:Adult
Orange,2009,"675,4155647829",Stocklasa,Martin,Female,Pensioner:Child
Yellow,2009,"266,0776721202",Danilevicius,Tomas,Female,Pensioner:Child
Red,2000,"2617,8734567836",Peters,René,Male,Worker:Teenager
Green,1999,"2880,6907464638",Cheng,Ieong Paulo Cheang,Female,Pensioner:Teenager
Orange,1991,"2808,7526713386",Rajoarimanana,Yvan,Female,Student:Adult
Red,2006,"355,0306111462",Chavula,Moses,Female,Pensioner:Child
Yellow,1995,"1583,1619906128",Ashfaq,Ali,Male,Worker:Teenager
Yellow,2009,"3007,0429383665",Coulibaly,Adama,Female,Student:Child
Yellow,2011,"1810,8519744016",Mifsud,Michael,Male,Student:Child
Green,2008,"431,4041002542",Baghayoko,Moussa,Male,Student:Child
Green,2008,"1553,9206415303",Bell,Colin,Male,Pensioner:Child
Orange,2012,"375,4461137466",Rodriguez,Pinedo Francisco Javier,Male,Pensioner:Child
Yellow,2013,"2849,6393379644",Epureanu,Alexandru,Male,Worker:Child
Blue,2009,"1000,1343116053",Donorov,Lumbengarav,Female,Student:Child
Orange,1995,"1500,7576369569",Vucinic,Mirko,Male,Worker:Teenager
Yellow,1997,"2754,8434580565",Mendes,Junior,Male,Worker:Teenager
Green,1992,"2613,2144275941",Lamyaghri,Nadir,Male,Worker:Adult
Green,2006,"285,0999431573",Rafael,Joao,Female,Pensioner:Child
Red,1998,"1053,307505779",Khin,Maung Lwin,Male,Pensioner:Teenager
Orange,2010,"47,2124297991",Ketjijere,Ronald,Female,Worker:Child
Blue,1995,"163,7511355691",Sneijder,Wesley,Male,Pensioner:Teenager
Yellow,1998,"2531,3723585457",Dokunengo,Olivier,Male,Pensioner:Teenager
Red,1992,"1661,976048246",Nelsen,Ryan,Female,Pensioner:Adult
Yellow,1991,"2346,777603019",Solorzano,David,Female,Pensioner:Adult
Green,2012,"324,7167612314",Ouwo,Moussa Maazou,Female,Pensioner:Child
Orange,2004,"2167,4663536139",Djeparov,Server,Male,Pensioner:Child
Green,1991,"1820,8444295339",Jean,Robert Yelou,Female,Student:Child
Orange,2000,"1195,8848717511",Arango,Juan,Female,Pensioner:Adult
Yellow,1999,"2144,9280432314",Nguyen,Minh Duc,Female,Pensioner:Child
Green,2012,"1477,4567633756",Ashley,Williams,Male,Worker:Child
Yellow,2007,"2008,7477736995",Awad,Salim,Female,Pensioner:Adult
Red,1991,"2132,602162648",Christopher,Katongo,Female,Student:Teenager
Blue,1990,"1260,8202313893",Matongorere,Nelson,Male,Student:Adult
Blue,1997,"2315,9830341935",Kargar,Mohammad Yosuf,Male,Student:Child
Yellow,2009,"745,2523303106",De,Biasi Giovanni,Male,Worker:Teenager
Orange,1994,"353,961303819",Halilhodzic,Vahid,Female,Student:Teenager
Green,2010,"2910,935055919",Lalogafuafua,Iofi,Female,Worker:Child
Blue,1994,"1240,4063031897",Alvarez,De Eulate Jesus Luis,Male,Pensioner:Child
Yellow,1993,"1643,0100574978",Colin,Girdon,Male,Student:Adult
Red,1997,"1454,7683959715",Curtis,Thomas,Female,Student:Child
Blue,2012,"2578,9604741037",Sabella,Alejandro,Male,Worker:Adult
Yellow,2003,"882,3778326511",Minasyan,Vardan,Female,Worker:Adult
Yellow,2008,"1932,1543322764",Beeldsnijder,Herbert,Female,Pensioner:Adult
Green,2010,"2399,3304064386",Osieck,Holger,Female,Student:Child
Red,1994,"1301,1423041932",Koller,Marcel,Female,Student:Adult
Orange,2005,"923,9663202204",Vogts,Hans Hubert,Female,Worker:Adult
